month_ID,ME_rank10,Re
13,1,0.029409092177028896
13,2,0.02732085023937247
13,3,0.03552512555120537
13,4,0.05462500732110276
13,5,0.04618401973349016
13,6,0.043947392637701047
13,7,0.05323389644559222
13,8,0.04002294949189593
13,9,0.053739211793599855
13,10,0.047964014859994374
14,1,0.022508208802790978
14,2,0.030622684772911572
14,3,0.03807729689189845
14,4,0.03428020923883418
14,5,0.019125772265962956
14,6,0.03787341604426622
14,7,0.019827382463515467
14,8,0.030529892428334482
14,9,0.04539736676649491
14,10,0.02459629968043992
15,1,0.047116111816603606
15,2,0.027501076133396345
15,3,0.02476881787412872
15,4,-0.008601806450120346
15,5,-0.031911597741817656
15,6,-0.03147903404082966
15,7,-0.033028703445647546
15,8,-0.059031273008264294
15,9,-0.04781294434947561
15,10,-0.0659146958191979
16,1,-0.04609302042477225
16,2,-0.030460695586752146
16,3,-0.01763554970743542
16,4,-0.025065971457806917
16,5,-0.024867103311552813
16,6,-0.017463755718585043
16,7,-0.019405093233162297
16,8,-8.217307914380773e-4
16,9,-0.005697109572555523
16,10,0.013811826248791906
17,1,-0.03050134784118086
17,2,-0.030363594821828988
17,3,-0.022898663717049354
17,4,-0.021414294011085327
17,5,-0.026580793820110752
17,6,-0.02802045457748378
17,7,-0.028210332455993897
17,8,-0.024309140014338045
17,9,-0.027712880040729592
17,10,0.001594107526822471
18,1,-0.0028559350831900165
18,2,-0.018310120145260445
18,3,-0.019338622951634712
18,4,-0.016915637014024335
18,5,-0.019536095542999395
18,6,-0.02331530418738906
18,7,-0.03665602336811216
18,8,-0.02249061766084091
18,9,-0.031224759072628953
18,10,-0.03381347657542848
19,1,0.0061293336440656305
19,2,0.0041089118520891525
19,3,-5.966940113709109e-4
19,4,-0.0021886795756528724
19,5,0.014161956026590166
19,6,0.011193338688277855
19,7,0.0308512250790127
19,8,0.03873475726913394
19,9,0.016862057588723695
19,10,0.021953446334320056
20,1,0.05401557583159249
20,2,0.056951994664313464
20,3,0.046826634139992405
20,4,0.03876802449885639
20,5,0.04671511153602395
20,6,0.04263708531888568
20,7,0.03574977780467171
20,8,0.05979161632608767
20,9,0.037920398546238965
20,10,0.046679873148745867
21,1,0.0864739822540494
21,2,0.07473481361601197
21,3,0.059106409255400685
21,4,0.06796263534764338
21,5,0.0527691561676161
21,6,0.032951552996061555
21,7,0.04954975834324453
21,8,0.046851220455030755
21,9,0.04751667589456719
21,10,0.015239718623790826
22,1,0.028868991334542016
22,2,0.022986839636034033
22,3,0.014014421307126976
22,4,0.0013512562774995105
22,5,0.005208565176732106
22,6,-0.005857089473546345
22,7,-0.006613816313195936
22,8,-5.364251291280061e-4
22,9,-0.02007711141310261
22,10,-0.02436842478115628
23,1,0.039887634960113376
23,2,0.05450510504257297
23,3,0.04796336074064351
23,4,0.05421835903751332
23,5,0.04890371703309291
23,6,0.05478971018366742
23,7,0.031918119805165665
23,8,0.048535399488263686
23,9,0.04735001879529154
23,10,0.055985402875449876
24,1,-0.015603042396625669
24,2,-0.0314804452573101
24,3,-0.01125549482767747
24,4,-0.021752531958211932
24,5,-0.012710521180136885
24,6,-0.012492184968666742
24,7,-0.017803678570208974
24,8,-0.013225194645461541
24,9,-0.01983567266842804
24,10,0.007320498578042849
25,1,0.07758865582424254
25,2,0.0975874340924359
25,3,0.08340001592240488
25,4,0.07969717986215884
25,5,0.07785557830349182
25,6,0.08780550905070084
25,7,0.07361393218170897
25,8,0.07605746979321108
25,9,0.06834122142088167
25,10,0.06426880536482296
26,1,-0.005682242253882281
26,2,0.0038645047190134845
26,3,0.019460748722582015
26,4,0.0057192479717099376
26,5,0.004759971623315169
26,6,-0.005057618713429247
26,7,-0.00881116529630583
